877;MorningstarP;Profile -- Industry;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"</div","Industry")
878;MorningstarP;Profile -- Sector;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"</div","Sector")
879;MorningstarP;Profile -- Stock Type;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"Stock Type")
880;MorningstarP;Profile -- Stock Style;=TRIM(smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"Stock Style"),"</div>","~"))

881;MorningstarT;Take -- Growth;=smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","div",0,"idMstarGradeContent","Growth"),"_grade","""")
882;MorningstarT;Take -- Profitability;=smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","div",0,"idMstarGradeContent","Profitability"),"_grade","""")
883;MorningStar;Stock Grades -- Financial Health;http://quicktake.morningstar.com/stocknet/printreport.aspx?symbol=~~~~~;2;STOCK GRADES;FINANCIAL HEALTH; ; ;0;0;0;0
884;MorningstarT;Take -- Morningstar Credit Rating;=smfGetTagContent("http://bond.morningstar.com/internal/company.aspx?cID="&smfStrExtr(RCHGetWebData("http://quicktake.morningstar.com/StockNet/bonds.aspx?Symbol=~~~~~","?cID="),"?cID=","&"),"td",6,"Morningstar Credit Rating")
885;MorningstarT;Take -- Company Notes;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",-1,"idMstarTakeContent",,,,,"None found",,255)
886;MorningstarT;Take -- Fair Value Estimate;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",1,"idMstarRecommendationContent","Fair Value Estimate",,,1)
887;MorningstarT;Take -- Consider Buying;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",1,"idMstarRecommendationContent","Consider Buying",,,1)
888;MorningstarT;Take -- Consider Selling;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",1,"idMstarRecommendationContent","Consider Selling",,,1)
889;MorningstarT;Take -- Fair Value Uncertainty;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",1,"idMstarRecommendationContent","Fair Value Uncertainty")
890;MorningstarT;Take -- Economic Moat;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",1,"idMstarRecommendationContent","Economic Moat")
891;MorningstarT;Take -- Stewardship;=smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","span",1,"idMstarRecommendationContent","Stewardship")

4661;MorningstarTR;Total Return - Date - Y1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;9;Total Return %<; ; ; ;-2;</table;0;0
4662;MorningstarTR;Total Return - Date - Y2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;8;Total Return %<; ; ; ;-2;</table;0;0
4663;MorningstarTR;Total Return - Date - Y3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;7;Total Return %<; ; ; ;-2;</table;0;0
4664;MorningstarTR;Total Return - Date - Y4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;6;Total Return %<; ; ; ;-2;</table;0;0
4665;MorningstarTR;Total Return - Date - Y5;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Total Return %<; ; ; ;-2;</table;0;0
4666;MorningstarTR;Total Return - Date - Y6;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Total Return %<; ; ; ;-2;</table;0;0
4667;MorningstarTR;Total Return - Date - Y7;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Total Return %<; ; ; ;-2;</table;0;0
4668;MorningstarTR;Total Return - Date - Y8;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Total Return %<; ; ; ;-2;</table;0;0

4671;MorningstarRM;Volatility - Standard Deviation;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>Standard Deviation; ; ; ;0;</table;0;0
4672;MorningstarRM;Volatility - Mean;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>Mean; ; ; ;0;</table;0;0
4673;MorningstarRM;Volatility - Sharpe Ratio;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>Sharpe Ratio; ; ; ;0;</table;0;0
4674;MorningstarRM;Volatility - Bear Market Decile Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>Bear Market Decile Rank; ; ; ;0;</table;0;0
4675;MorningstarRM;R-Squared - Standard Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>R-Squared; ; ; ;0;</table;0;0
4676;MorningstarRM;R-Squared - Best Fit Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;>R-Squared; ; ; ;0;</table;0;0
4677;MorningstarRM;Beta - Standard Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>R-Squared;>Beta; ; ;0;</table;0;0
4678;MorningstarRM;Beta - Best Fit Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;>R-Squared;>Beta; ; ;0;</table;0;0
4679;MorningstarRM;Alpha - Standard Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>Alpha; ; ; ;0;</table;0;0
4680;MorningstarRM;Alpha - Best Fit Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;>Alpha; ; ; ;0;</table;0;0

4681;MorningstarPO;Valuation - Price/Prospective Earnings - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Price/Prospective Earnings; ; ;0;</table;0;0
4682;MorningstarPO;Valuation - Price/Prospective Earnings - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Price/Prospective Earnings; ; ;0;</table;0;0
4683;MorningstarPO;Valuation - Price/Prospective Earnings - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Price/Prospective Earnings; ; ;0;</table;0;0
4684;MorningstarPO;Valuation - Price/Book - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Price/Book; ; ;0;</table;0;0
4685;MorningstarPO;Valuation - Price/Book - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Price/Book; ; ;0;</table;0;0
4686;MorningstarPO;Valuation - Price/Book - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Price/Book; ; ;0;</table;0;0
4687;MorningstarPO;Valuation - Price/Sales - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Price/Sales; ; ;0;</table;0;0
4688;MorningstarPO;Valuation - Price/Sales - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Price/Sales; ; ;0;</table;0;0
4689;MorningstarPO;Valuation - Price/Sales - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Price/Sales; ; ;0;</table;0;0
4690;MorningstarPO;Valuation - Price/Cash Flow - Fund;http://portfolios.morningstar.com/fund/summary?t=~~~~~;1;Growth Measures;Price/Cash Flow; ; ;0;</table;0;0
4691;MorningstarPO;Valuation - Price/Cash Flow - Rel to Index;http://portfolios.morningstar.com/fund/summary?t=~~~~~;2;Growth Measures;Price/Cash Flow; ; ;0;</table;0;0
4692;MorningstarPO;Valuation - Price/Cash Flow - Rel to Category;http://portfolios.morningstar.com/fund/summary?t=~~~~~;3;Growth Measures;Price/Cash Flow; ; ;0;</table;0;0
