Folder,Filename,Type,Size,Last Modified,"Description",Notes,
Documentation,Change-Log.html,html,--,42591.16875,"Change log for add-in",--,
,RCH_Stock_Market_Functions-2.1.2016.08.07.zip,zip,--,42591.0833333333,"Latest official relase of the add-in. <br>2016-07-13: Updated for Yahoo's option quotes page redesign.<br>2016-07-13: More Yahoo option page changes, new smfGetYahooPortfolioView function <!-- Be sure to check the Works-In-Progress folder for changes that may have occurred since this release. That folder may also contain a beta release of the new version of the add-in. -->",--,
,Install-the-addin.html,html,--,42590.0951388889,"How to install the add-in",--,
Templates,smfGetYahooPortfolioView-Multiple-Expirations-By-Strike-Prices.xls,xls,--,42589.7916666667,"An options tool that retrieves multiple expirations and strikes for a ticker symbol, using the smfYahooPortfolioView() function.",,
Templates,smfGetYahooPortfolioView-Example.xls,xls,--,42589.5833333333,"Simple example of using the smfGetYahooPortfolioView() function.",,
Documentation,smfGetOptionQuotes-Function.html,html,--,42587.8048611111,"Function to return a range of options data items to worksheet cells, based on a list of special option ticker symbols and data codes. For example, this would return the bid and ask prices on the specified options contract:<br><br>=smfGetOptionQuotes(""SPY 12/19 2015 $190 Call"" ,""ba"")",--,
Templates,SMF-Template-Zacks-Data.xls,xls,--,42529.6666666667,"A template that shows the data elements from the Zacks web pages. Basically, this is just element numbers 854 through 876 and 13869 through 13896 shown in context.",--,
Works-In-Progress,smf-elements-9.txt,txt,--,42330.9166666667,"Other misc data elements",Fixed IBD elements,
Templates,RCHGetTableCell-Template-IBD-Stock-Checkup.xls,xls,--,42323.75,"A template of RCHGetTableCell() functions to retrieve data items from IBD's Stock Checkup web page. You will need to log in, creating an IE security cookie, before using the template formulas.",,
Templates,smfGetAdvFNElement-Template-All-Line-Items.xls,xls,--,42305.1666666667,"A template showing how to dump all annual and/or quarterly financial statements data from AdvFN, using the smfGetAdvFNElement function.",--,
Works-In-Progress,RCHGetElementNumber-Element-Definitions.xls,xls,--,41821.3902777778,"Documentation of element definitions for the RCHGetElementNumber() function",--,
Works-In-Progress,smf-elements-1.txt,txt,--,41821.3805555556,"Updated FY1 thru FY10 labels to be FY10 thru FY1 for 10-year summary elements",--,
Works-In-Progress,RCH_Stock_Market_Functions-2.1.2014.05.25.zip,zip,--,41784.064053125,"Beta copy of the add-in. This contains all the add-in files that I am currently using in my day-to-day processing.",,
Templates,smfGetOptionQuotes-Example-ITM-OTM-Multiple-Expirations.xls,xls,--,41708.1794444444,"An example that retrieves four ITM and four OTM option contracts for a multiple expiration dates.",--,
Templates,smfGetOptionQuotes-Example-ITM-OTM.xls,xls,--,41708.1771875,"An example that retrieves four ITM and four OTM option contracts for a given expiration date.",--,
Templates,smfGetOptionQuotes-Template-CC-List-Returns.xls,xls,--,41708.1678472222,"A workbook to check the nearest ITM and OTM options at a specified expiration date for a number of equities, to find those with the highest RIU. It requires the SMF add-in to collect necessary data from Yahoo or Google or OptionsXPress web pages.",--,
Documentation,RCHGetTableCell-Function.html,html,--,41706.7131944444,"Documentation for RCHGetTableCell function",--,
Templates,RCHGetYahooHistory-Example-By-Parameters.xls,xls,--,41706.1026736111,"A template showing a small example of retrieving historical quotes from Yahoo.  All of the parameters for the function can be played with, to see how their changing values can change what the function returns.",--,
Templates,smfPricesByDates-Example-Performance-By-Period.xls,xls,--,41706.0899884259,"An smfPricesByDates example showing performance by period for several stocks, for a row of ticker symbols and a column of dates/periods.",--,
Templates,smfPricesByDates-Example-Stocks-By-Dates.xls,xls,--,41706.0884027778,"An smfPricesByDates example showing retrieval of prices by dates for a number of stocks, for a column of ticker symbols and a row of dates.",--,
Templates,SMF-Template-Barchart-Technical-Indicators.xls,xls,--,41705.7583333333,"A template that shows the data elements from the Barchart Technical Indicators page. Basically, this is just element numbers 1215 through 1284 in a format similar to that found on the Barchart web page.",Added elements #701-721,
Elements,smf-elements-9.txt,txt,--,41705.7569444444,"Other misc data elements",--,
Templates,RCHGetElementNumber-Template-Yahoo-Key-Statistics.xls,xls,--,41705.7027777778,"A template that shows the data elements available from the Yahoo! Key Statistics web page. Basically, this is just element numbers 938 through 993 shown in context.",Renamed;<br>Added element #1285 (Next Earnings Date);<br>Added Sector and Industry names,
Templates,SMF-Template-RCHGetYahooQuotes-Currency-Table.xls,xls,--,41701.718587963,"A template that uses the RCHGetYahooQuotes() function to create a table of Cross Currency Rates using the exchange rates quotes available from the Yahoo current quotes interface.",--,
Templates,SMF-Template-RCHGetYahooQuotes.xls,xls,--,41701.7156597222,"A template with an example of using the RCHGetYahooQuotes() function that has been enabled for recalculation via the F9 keyboard shortcut.",--,
Templates,SMF-Template-Yahoo-Analyst-Estimates.xls,xls,--,41701.1104166667,"A template that shows the data elements from the Yahoo Analyst Estimates page. Basically, this is just element numbers 553 through 700 in a format similar to that found on the Yahoo web page.",--,
Templates,SMF-Template-Yahoo-Mutual-Fund-Data.xls,xls,--,41701.1097222222,"A template that shows the mutual fund data elements available from several Yahoo! Mutual Fund data pages. Basically, this is a subset of element numbers 4930 through 5195 shown in context via tables.",--,
Templates,SMF-Template-Zacks-Earnings-Annoucements.xls,xls,--,41701.1069444444,"Shows the new Zacks element definitions for the old earnings.com elements #1286 thru #1400.",--,
Templates,SMF-Template-Barchart-Market-Momentum.xls,xls,--,41701.0895833333,"A template that shows the data elements from the Barchart Market Momentum page. Basically, this is just element numbers 1146 through 1214 in a format similar to that found on the Barchart web page.",--,
Templates,SMF-Template-Morningstar-Key-Ratios.xls,xls,--,41700.0611111111,"A template that shows the Key Ratios data elements from various web pages of Morningstar. Basically, this is just element numbers 14058 through 14398 shown in their web page context.",--,
Templates,SMF-Template-Morningstar-Portfolio-Attributes.xls,xls,--,41700.0597222222,"A template that shows the Morningstar Portfolio Attributes web page data elements for mutual funds. Basically, this is just element numbers 4681 through 4790 shown in their web page context.",--,
Templates,SMF-Template-Morningstar-Valuation-Ratios.xls,xls,--,41700.0534722222,"A template that shows the Comparison Valuation Ratios data elements from various web pages of Morningstar. Basically, this is just element numbers 13931 through 14057  shown in their web page context.",--,
Templates,SMF-Template-MSN-10-Year-Summaries.xls,xls,--,41700.0527777778,"OBSOLETE -- A template that shows the MSN 10-Year summaries of Key Ratio, Income Statement, and Balance Sheet items. Basically, this is just element numbers 153 through 352  shown in their web page context.",--,
Templates,SMF-Template-MSN-Analyst-Opinions.xls,xls,--,41700.0486111111,"OBSOLETE -- A template that shows the MSN Analyst Estimates and Recommendations. Basically, this is just element numbers 353 through 478  shown in their web page context.",--,
Templates,SMF-Template-MSN-Key-Ratio-Comparisons.xls,xls,--,41700.0479166667,"OBSOLETE -- A template that shows the MSN comparison of Key Ratios between a company, their associated industry, and the S&P 500. Basically, this is just element numbers 48 through 152  shown in their web page context.",--,
Templates,SMF-Template-Google-Balance-Sheet-Tables.xls,xls,--,41699.4434722222,"A template that shows the the Annual and Quarterly Balance Sheet data elements from Google Finance.  Basically, this is just element numbers 2992 through 3201 and 3602 through 3853 in a format similar to that found on the Google Finance web page.",--,
Templates,SMF-Template-Google-Cash-Flow-Tables.xls,xls,--,41699.4431481482,"A template that shows the the Annual and Quarterly Cash Flow Statement data elements from Google Finance.  Basically, this is just element numbers 3202 through 3301 and 3854 through 3973 in a format similar to that found on the Google Finance web page.",--,
Templates,SMF-Template-Google-Income-Statement-Tables.xls,xls,--,41699.4427083333,"A template that shows the the Annual and Quarterly Income Statement data elements from Google Finance.  Basically, this is just element numbers 2742 through 2991 and 3302 through 3601 in a format similar to that found on the Google Finance web page.",--,
Templates,RCHGetHTMLTable-Template-Yahoo-Options.xls,xls,--,41697.9277777778,"An example of using the RCHGetHTMLTable() function to retrieve Put and Call options from Yahoo Finance.",--,
Templates,RCHGetWebData-Template-Reuters-Key-Developments.xls,xls,--,41694.3826388889,"A template to show how the RCHGetWebData() function can be used to extract the ""Key Development"" items from Reuters. The data is not in an HTML table, so it needs to be extracted in a cascading fashion, one following another.",--,
Templates,SMF-Template-Reuters-Ratios-Comparison.xls,xls,--,41686.7816666667,"A template that shows the Reuters Comparison Ratios between a company, their associated industry, their associated sector, and the S&P 500. Basically, this is just element numbers 13626 through 13821 in a format similar to that found on the Reuters web page.",--,
Works-In-Progress,SMF-Template-Reuters-Ratios-Comparison.xls,xls,--,41686.78125,"A template that shows the Reuter's Ratios data elements.  Basically, this is just element numbers 731 through 754 and 13626 through 13920, shown in their web page context.",Updated to display new elements #731 thru #754,
Elements,smf-elements-5.txt,txt,--,41686.7722222222,"Reuters data elements",--,
Works-In-Progress,smf-elements-5.txt,txt,--,41686.7722222222,"Reuters data elements",Added elements #731 thru #754, for new Reuters statistics and performance data,
Works-In-Progress,SMF-Template-Yahoo-Market-Statistics.xls,xls,--,41686.7409722222,"A template that shows the Yahoo Market Statistics data elements.  Basically, this is just element numbers 13822 through 13861 and 13901 through 13820, shown in their web page context.",Updated to display new elements #13901 thru #13920,
Elements,smf-elements-2.txt,txt,--,41686.7375,"Yahoo data elements",--,
Works-In-Progress,smf-elements-2.txt,txt,--,41686.7375,"Yahoo data elements",Fixed elements #13822 thru #13861 on smf-elements-2.txt, because Yahoo changed their Market Statistics web page, also added elements #13901 thru #13920 for Canadian Market Statistics,
Works-In-Progress,smf-elements-info.txt,txt,--,41686.6277777778,"An overview of defined elements and element definition files",--,
Elements,smf-elements-info.txt,txt,--,41684.6277777778,"An overview of defined elements and element definition files",--,
Elements,smf-elements-4.txt,txt,--,41670.5673611111,"Morningstar data elements",--,
Works-In-Progress,smf-elements-4.txt,txt,--,41670.5673611111,"Morningstar data elements",Fixed elements 13935/13940/13945/13950, which were picking up Price/Sales data instead of Dividend Yield.,
Templates,SMF-Quick-Webpage-Examination.xls,xls,--,41646.6135300926,"Several examples of quick processes I sometimes use to explore what might be on the web page and within the source code of the web page, using the smfGetTagContent(), RCHGetTableCell(), or RCHGetWebData() functions.",--,
Elements,smf-elements-8.txt,txt,--,41583.5597222222,"Earnings.com data elements",--,
Elements,smf-elements-3.txt,txt,--,41583.1763888889,"Google data elements",--,
